,color,color_name,hex,rgb
0,air_force_blue_raf,Air Force Blue (Raf),#5d8aa8,"[93, 138, 168]"
1,air_force_blue_usaf,Air Force Blue (Usaf),#00308f,"[0, 48, 143]"
2,air_superiority_blue,Air Superiority Blue,#72a0c1,"[114, 160, 193]"
3,alabama_crimson,Alabama Crimson,#a32638,"[163, 38, 56]"
4,alice_blue,Alice Blue,#f0f8ff,"[240, 248, 255]"
5,alizarin_crimson,Alizarin Crimson,#e32636,"[227, 38, 54]"
6,alloy_orange,Alloy Orange,#c46210,"[196, 98, 16]"
7,almond,Almond,#efdecd,"[239, 222, 205]"
8,amaranth,Amaranth,#e52b50,"[229, 43, 80]"
9,amber,Amber,#ffbf00,"[255, 191, 0]"
10,amber_sae_ece,Amber (Sae/Ece),#ff7e00,"[255, 126, 0]"
11,american_rose,American Rose,#ff033e,"[255, 3, 62]"
12,amethyst,Amethyst,#96c,"[153, 102, 204]"
13,android_green,Android Green,#a4c639,"[164, 198, 57]"
14,anti_flash_white,Anti-Flash White,#f2f3f4,"[242, 243, 244]"
15,antique_brass,Antique Brass,#cd9575,"[205, 149, 117]"
16,antique_fuchsia,Antique Fuchsia,#915c83,"[145, 92, 131]"
17,antique_ruby,Antique Ruby,#841b2d,"[132, 27, 45]"
18,antique_white,Antique White,#faebd7,"[250, 235, 215]"
19,ao_english,Ao (English),#008000,"[0, 128, 0]"
20,apple_green,Apple Green,#8db600,"[141, 182, 0]"
21,apricot,Apricot,#fbceb1,"[251, 206, 177]"
22,aqua,Aqua,#0ff,"[0, 255, 255]"
23,aquamarine,Aquamarine,#7fffd4,"[127, 255, 212]"
24,army_green,Army Green,#4b5320,"[75, 83, 32]"
25,arsenic,Arsenic,#3b444b,"[59, 68, 75]"
26,arylide_yellow,Arylide Yellow,#e9d66b,"[233, 214, 107]"
27,ash_grey,Ash Grey,#b2beb5,"[178, 190, 181]"
28,asparagus,Asparagus,#87a96b,"[135, 169, 107]"
29,atomic_tangerine,Atomic Tangerine,#f96,"[255, 153, 102]"
30,auburn,Auburn,#a52a2a,"[165, 42, 42]"
31,aureolin,Aureolin,#fdee00,"[253, 238, 0]"
32,aurometalsaurus,Aurometalsaurus,#6e7f80,"[110, 127, 128]"
33,avocado,Avocado,#568203,"[86, 130, 3]"
34,azure,Azure,#007fff,"[0, 127, 255]"
35,azure_mist_web,Azure Mist/Web,#f0ffff,"[240, 255, 255]"
36,baby_blue,Baby Blue,#89cff0,"[137, 207, 240]"
37,baby_blue_eyes,Baby Blue Eyes,#a1caf1,"[161, 202, 241]"
38,baby_pink,Baby Pink,#f4c2c2,"[244, 194, 194]"
39,ball_blue,Ball Blue,#21abcd,"[33, 171, 205]"
40,banana_mania,Banana Mania,#fae7b5,"[250, 231, 181]"
41,banana_yellow,Banana Yellow,#ffe135,"[255, 225, 53]"
42,barn_red,Barn Red,#7c0a02,"[124, 10, 2]"
43,battleship_grey,Battleship Grey,#848482,"[132, 132, 130]"
44,bazaar,Bazaar,#98777b,"[152, 119, 123]"
45,beau_blue,Beau Blue,#bcd4e6,"[188, 212, 230]"
46,beaver,Beaver,#9f8170,"[159, 129, 112]"
47,beige,Beige,#f5f5dc,"[245, 245, 220]"
48,big_dip_o_ruby,Big Dip O’Ruby,#9c2542,"[156, 37, 66]"
49,bisque,Bisque,#ffe4c4,"[255, 228, 196]"
50,bistre,Bistre,#3d2b1f,"[61, 43, 31]"
51,bittersweet,Bittersweet,#fe6f5e,"[254, 111, 94]"
52,bittersweet_shimmer,Bittersweet Shimmer,#bf4f51,"[191, 79, 81]"
53,black,Black,#000,"[0, 0, 0]"
54,black_bean,Black Bean,#3d0c02,"[61, 12, 2]"
55,black_leather_jacket,Black Leather Jacket,#253529,"[37, 53, 41]"
56,black_olive,Black Olive,#3b3c36,"[59, 60, 54]"
57,blanched_almond,Blanched Almond,#ffebcd,"[255, 235, 205]"
58,blast_off_bronze,Blast-Off Bronze,#a57164,"[165, 113, 100]"
59,bleu_de_france,Bleu De France,#318ce7,"[49, 140, 231]"
60,blizzard_blue,Blizzard Blue,#ace5ee,"[172, 229, 238]"
61,blond,Blond,#faf0be,"[250, 240, 190]"
62,blue,Blue,#00f,"[0, 0, 255]"
63,blue_bell,Blue Bell,#a2a2d0,"[162, 162, 208]"
64,blue_crayola,Blue (Crayola),#1f75fe,"[31, 117, 254]"
65,blue_gray,Blue Gray,#69c,"[102, 153, 204]"
66,blue_green,Blue-Green,#0d98ba,"[13, 152, 186]"
67,blue_munsell,Blue (Munsell),#0093af,"[0, 147, 175]"
68,blue_ncs,Blue (Ncs),#0087bd,"[0, 135, 189]"
69,blue_pigment,Blue (Pigment),#339,"[51, 51, 153]"
70,blue_ryb,Blue (Ryb),#0247fe,"[2, 71, 254]"
71,blue_sapphire,Blue Sapphire,#126180,"[18, 97, 128]"
72,blue_violet,Blue-Violet,#8a2be2,"[138, 43, 226]"
73,blush,Blush,#de5d83,"[222, 93, 131]"
74,bole,Bole,#79443b,"[121, 68, 59]"
75,bondi_blue,Bondi Blue,#0095b6,"[0, 149, 182]"
76,bone,Bone,#e3dac9,"[227, 218, 201]"
77,boston_university_red,Boston University Red,#c00,"[204, 0, 0]"
78,bottle_green,Bottle Green,#006a4e,"[0, 106, 78]"
